Queue Group/Line of Business,Month,Year,Calls Handled,Average Wait Time (minutes),,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jan,2018,823,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Feb,2018,807,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Mar,2018,822,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Apr,2018,828,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),May,2018,985,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jun,2018,896,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jul,2018,"1,049",0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Aug,2018,"1,018",0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Sep,2018,724,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Oct,2018,939,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Nov,2018,"1,065",0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Dec,2018,703,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jan,2019,827,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Feb,2019,783,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Mar,2019,887,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Apr,2019,842,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),May,2019,"1,034",1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jun,2019,920,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jul,2019,"1,005",1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Aug,2019,"1,099",1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Sep,2019,920,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Oct,2019,945,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Nov,2019,672,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Dec,2019,627,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jan,2020,941,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Feb,2020,842,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Mar,2020,757,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Apr,2020,473,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),May,2020,499,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jun,2020,615,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jul,2020,600,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Aug,2020,568,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Sep,2020,626,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Oct,2020,584,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Nov,2020,559,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Dec,2020,504,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jan,2021,476,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Feb,2021,374,9.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Mar,2021,480,10.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Apr,2021,531,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),May,2021,533,7.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jun,2021,563,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jul,2021,546,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Aug,2021,497,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Sep,2021,552,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Oct,2021,522,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Nov,2021,413,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Dec,2021,426,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jan,2022,683,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Feb,2022,648,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Mar,2022,884,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Apr,2022,696,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),May,2022,746,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jun,2022,770,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Jul,2022,662,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Aug,2022,741,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Property Security Registrations and Searches Services queues  (English + French),Sep,2022,625,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jan,2016,"6,049",0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Feb,2016,"6,643",0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Mar,2016,"6,425",0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Apr,2016,"6,711",0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),May,2016,"6,949",0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jun,2016,"7,527",0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jul,2016,"6,896",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Aug,2016,"6,994",0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Sep,2016,"7,249",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Oct,2016,"7,765",0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Nov,2016,"8,364",0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Dec,2016,"7,859",0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jan,2017,"8,546",0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Feb,2017,"7,105",1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Mar,2017,"8,999",2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Apr,2017,"7,019",0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),May,2017,"7,504",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jun,2017,"6,627",0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jul,2017,"6,076",0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Aug,2017,"5,919",0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Sep,2017,"5,003",0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Oct,2017,"5,410",0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Nov,2017,"5,528",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Dec,2017,"4,921",0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jan,2018,"5,535",0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Feb,2018,"4,440",0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Mar,2018,"5,473",0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Apr,2018,"5,479",0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),May,2018,"7,341",0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jun,2018,"6,691",0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jul,2018,"7,087",0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Aug,2018,"8,363",0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Sep,2018,"8,703",2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Oct,2018,"9,346",1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Nov,2018,"8,097",1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Dec,2018,"6,967",0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jan,2019,"9,842",1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Feb,2019,"8,089",0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Mar,2019,"7,576",0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Apr,2019,"6,806",0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),May,2019,"6,957",0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jun,2019,"5,334",0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jul,2019,"5,907",0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Aug,2019,"5,201",0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Sep,2019,"5,117",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Oct,2019,"5,412",0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Nov,2019,"4,467",0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Dec,2019,"3,648",0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jan,2020,"4,837",0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Feb,2020,"4,303",0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Mar,2020,"4,572",2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Apr,2020,"4,554",1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),May,2020,"3,717",0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jun,2020,"4,150",0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jul,2020,"5,036",0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Aug,2020,"5,293",0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Sep,2020,"5,781",0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Oct,2020,"5,852",0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Nov,2020,"5,712",0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Dec,2020,"5,499",3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jan,2021,"6,146",2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Feb,2021,"5,857",2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Mar,2021,"6,444",1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Apr,2021,"5,147",2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),May,2021,"4,736",1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jun,2021,"4,835",1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jul,2021,"4,138",1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Aug,2021,"3,999",0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Sep,2021,"3,806",0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Oct,2021,"4,026",1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Nov,2021,"4,333",1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Dec,2021,"4,167",0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jan,2022,"4,649",0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Feb,2022,"4,503",0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Mar,2022,"5,577",1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Apr,2022,"4,187",3.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),May,2022,"4,620",5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jun,2022,"5,732",1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Jul,2022,"5,162",3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Aug,2022,"5,608",4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Security and Investigative Services queues (English + French),Sep,2022,"5,318",2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jan,2016,"3,591",0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Feb,2016,"3,399",0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Mar,2016,"3,571",0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Apr,2016,"3,483",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),May,2016,"3,196",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jun,2016,"2,997",0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jul,2016,"2,497",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Aug,2016,"2,862",0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Sep,2016,"3,056",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Oct,2016,"2,914",0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Nov,2016,"2,717",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Dec,2016,"1,689",1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jan,2017,"2,792",1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Feb,2017,"2,386",1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Mar,2017,"2,931",0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Apr,2017,"2,125",0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),May,2017,"2,421",1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jun,2017,"2,351",1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jul,2017,"2,205",0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Aug,2017,"2,515",0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Sep,2017,"2,330",0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Oct,2017,"2,334",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Nov,2017,"2,110",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Dec,2017,"1,476",0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Jan,2018,"2,589",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Feb,2018,"2,249",0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Mar,2018,"2,483",0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),Apr,2018,"2,346",0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publications queues  (English + French),May,2018,"2,590",0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
